date,month,permno,ticker,prc,weekly_ret,monthly_ret
2024-01-05,2024-01,19233,SDOT,0.403,0.006242305921036806,-0.18601860036670215
2024-01-05,2024-01,19224,AEVA,1.12,0.4781579547753314,0.12445583766066592
2024-01-05,2024-01,22312,IOBT,1.96,0.042552511140498295,-0.07446884168024837
2024-01-05,2024-01,17344,RFL,1.9,0.03825213461677168,-0.010928118555770916
2024-01-05,2024-01,82621,MLSS,0.631,-0.0853751315666671,-0.1727799595389906
2024-01-05,2024-01,20630,SNSE,0.7701,0.1128612871997321,0.18497321481393936
2024-01-05,2024-01,21971,ESLA,1.1,-0.009008805360913197,0.009008484638723058
2024-01-05,2024-01,21368,BTTR,0.29,0.04844550825322291,-0.24078040261223466
2024-01-05,2024-01,65429,TPHS,0.18,0.6216227492276811,0.5639610351026718
2024-01-05,2024-01,20639,VINO,0.5202,-0.11830476201282769,-0.21017057301380138
2024-01-05,2024-01,12840,LODE,0.5,-0.08759118351019823,-0.14817549278651887
2024-01-05,2024-01,14056,ONTX,0.7414,-0.005634147779486232,-0.08664420235256987
2024-01-05,2024-01,19066,CNSP,1.19,-0.06299218343056023,-0.804724744107442
2024-01-05,2024-01,22561,GCTK,0.24,-0.08221774562155171,-0.19655832820560215
2024-01-05,2024-01,24098,SPGC,0.683,-0.005822277528433895,0.018338852784393733
2024-01-05,2024-01,21866,PETV,1.129,0.06509494597417631,0.16509486739855928
2024-01-05,2024-01,91021,PSTV,1.78,0.017085034082275685,-0.052655271985188046
2024-01-05,2024-01,83391,STRM,0.4354,0.024470411761930322,-0.08235172096232735
2024-01-05,2024-01,17370,ORGS,0.436,-0.12921881444677596,-0.37287729363838107
2024-01-05,2024-01,20645,PRST,0.4439,-0.16481684313876444,-0.5879593950676394
